Entity,Code,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),,2018-08-30,693,185000000,Academia and industry collaboration
2-layer-LSTM+Deep-Gradient-Compression,,2017-12-05,1.34,6020000,Academia and industry collaboration
3D city reconstruction,,2009-09-29,,,Academia and industry collaboration
4 layer QRNN (h=2500),,2018-03-22,240.00002,26000000,Industry
6-Act Tether,,2021-08-03,,5000000,Academia and industry collaboration
6-layer MLP (MNIST),,2010-03-01,0.130788,12110000,Academia
A3C FF hs,,2016-02-04,,,Academia and industry collaboration
ADALINE,,1960-06-30,9.9e-12,17,Academia
ADAM (CIFAR-10),,2014-12-22,60.48,,Academia and industry collaboration
ADAPTIVE NLPM,,2008-12-08,,12198000,Academia
ADM,,2021-05-11,6200000,559000000,Industry
AFM-on-device,,2024-07-29,451260000,2729999872,Industry
AFM-server,,2024-07-29,,,Industry
ALBERT,,2019-09-26,,18000000,Academia and industry collaboration
ALBERT-xxlarge,,2020-02-09,2390000,235000000,Academia and industry collaboration
ALIGN,,2021-06-11,25986700,820000000,Industry
ALM 1.0,,2022-11-28,,335000000,Academia
ALVINN,,1989-12-01,0.000010548576,36627,Academia
AMDIM,,2019-06-03,,626000000,Industry
ANN Eye Tracker,,1993-11-29,0.000017534401,5620,Other
AR-LDM,,2022-11-20,510000,1500000000,Academia and industry collaboration
ASE+ACE,,1983-09-01,3.24e-7,324,Academia
ATLAS,,2020-05-02,38257.92,11000000512,Other
AWD-LSTM,,2017-07-18,,24000000,Academia and industry collaboration
AWD-LSTM + MoS + Partial Shuffled,,2019-06-10,328,35000000,Academia
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),,2017-08-07,309.00003,33000000,Industry
AWD-LSTM+WT+Cache+IOG (WT2),,2017-09-26,3.3100002,53000000,Industry
AWD-LSTM-DRILL + dynamic evaluation† (WT2),,2019-05-14,424,34000000,Academia
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",,2017-11-10,437,35000000,Academia
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",,2018-09-18,,35000000,Academia and industry collaboration
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),,2018-08-14,,35000000,Industry
AbLang (heavy sequences),,2022-01-22,,355000000,Academia
AdaBoost.M2 Digit Recognition,,1996-07-03,,,Industry
AdaRNN,,2014-06-01,,13040,Academia
Adaptive Input Transformer + RD,,2021-06-28,82000,247000000,Academia and industry collaboration
Adaptive Inputs + LayerDrop,,2019-09-25,,423000000,Academia and industry collaboration
Adaptive Subgrad,,2011-10-03,,,Academia and industry collaboration
Advantage Learning,,2015-12-15,,,Industry
Adversarial Joint Adaptation Network (ResNet),,2017-08-17,,60000000,Academia
Agent57,,2020-03-30,,,Industry
Agile Soccer Robot,,2023-04-26,,,Industry
AlexNet,,2012-09-30,470,60000000,Academia
AlexaTM 20B,,2022-08-02,204374020,19750000640,Industry
