Entity,Code,Day,Number of parameters,Researcher affiliation
(ensemble): AWD-LSTM-DOC (fin) × 5 (WT2),,2018-08-30,185000000,Academia and industry collaboration
2-layer-LSTM+Deep-Gradient-Compression,,2017-12-05,6020000,Academia and industry collaboration
3D city reconstruction,,2009-09-29,,Academia and industry collaboration
4 layer QRNN (h=2500),,2018-03-22,26000000,Industry
6-Act Tether,,2021-08-03,5000000,Academia and industry collaboration
6-layer MLP (MNIST),,2010-03-01,12110000,Academia
A3C FF hs,,2016-02-04,,Academia and industry collaboration
ADALINE,,1960-06-30,17,Academia
ADAM (CIFAR-10),,2014-12-22,,Academia and industry collaboration
ADAPTIVE NLPM,,2008-12-08,12198000,Academia
ADM,,2021-05-11,559000000,Industry
AFM-on-device,,2024-07-29,2729999872,Industry
AFM-server,,2024-07-29,,Industry
ALBERT,,2019-09-26,18000000,Academia and industry collaboration
ALBERT-xxlarge,,2020-02-09,235000000,Academia and industry collaboration
ALIGN,,2021-06-11,820000000,Industry
ALM 1.0,,2022-11-28,335000000,Academia
ALVINN,,1989-12-01,36627,Academia
AMDIM,,2019-06-03,626000000,Industry
ANN Eye Tracker,,1993-11-29,5620,Other
AR-LDM,,2022-11-20,1500000000,Academia and industry collaboration
ASE+ACE,,1983-09-01,324,Academia
ATLAS,,2020-05-02,11000000512,Other
AWD-LSTM,,2017-07-18,24000000,Academia and industry collaboration
AWD-LSTM + MoS + Partial Shuffled,,2019-06-10,35000000,Academia
AWD-LSTM - 3-layer LSTM (tied) + continuous cache pointer (WT2),,2017-08-07,33000000,Industry
AWD-LSTM+WT+Cache+IOG (WT2),,2017-09-26,53000000,Industry
AWD-LSTM-DRILL + dynamic evaluation† (WT2),,2019-05-14,34000000,Academia
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2017)",,2017-11-10,35000000,Academia
"AWD-LSTM-MoS + dynamic evaluation (WT2, 2018)",,2018-09-18,35000000,Academia and industry collaboration
AWD-LSTM-MoS+PDR + dynamic evaluation (WT2),,2018-08-14,35000000,Industry
AbLang (heavy sequences),,2022-01-22,355000000,Academia
AdaBoost.M2 Digit Recognition,,1996-07-03,,Industry
AdaRNN,,2014-06-01,13040,Academia
Adaptive Input Transformer + RD,,2021-06-28,247000000,Academia and industry collaboration
Adaptive Inputs + LayerDrop,,2019-09-25,423000000,Academia and industry collaboration
Adaptive Subgrad,,2011-10-03,,Academia and industry collaboration
Advantage Learning,,2015-12-15,,Industry
Adversarial Joint Adaptation Network (ResNet),,2017-08-17,60000000,Academia
Agent57,,2020-03-30,,Industry
Agile Soccer Robot,,2023-04-26,,Industry
AlexNet,,2012-09-30,60000000,Academia
AlexaTM 20B,,2022-08-02,19750000640,Industry
AlphaCode,,2022-02-02,41100001280,Industry
AlphaFold,,2020-01-15,16340840,Industry
AlphaFold 2,,2020-11-30,93000000,Industry
AlphaFold-Multimer,,2021-10-04,,Industry
AlphaGeometry,,2024-01-17,151000000,Academia and industry collaboration
AlphaGo Fan,,2015-10-01,8209984,Industry
AlphaGo Lee,,2016-01-27,,Industry
AlphaGo Master,,2017-01-01,,Industry
AlphaGo Zero,,2017-10-18,46400244,Industry
AlphaMissense,,2023-09-22,93000000,Industry
AlphaStar,,2019-10-30,139000000,Industry
AlphaX-1,,2019-10-02,579000000,Academia and industry collaboration
AlphaZero,,2017-12-05,,Industry
AltCLIP_M9,,2022-11-12,,Academia
Amazon Titan,,2023-09-28,199999995904,Industry
AmoebaNet-A (F=190),,2018-02-05,87000000,Industry
AmoebaNet-A (F=448),,2018-02-05,469000000,Industry
Ankh_large,,2023-01-16,1900000000,Academia
AudioGen,,2023-03-05,1000000000,Academia and industry collaboration
AudioLM,,2023-07-26,1500000000,Industry
Aya,,2024-02-12,12999999488,Academia and industry collaboration
BART-large,,2019-10-29,406291456,Industry
BASIC-L,,2021-11-19,3070000128,Industry
BASIC-L + Lion,,2023-02-13,3070000128,Academia and industry collaboration
BEIT-3,,2022-08-22,1900000000,Industry
BERT-Large,,2018-10-11,340000000,Industry
BERT-Large-CAS (PTB+WT2+WT103),,2019-04-20,395000000,Industry
BERT-RBP,,2022-04-07,110000000,Academia
BIDAF,,2016-11-05,2600000,Other
BLIP-2 (Q-Former),,2023-01-30,1480000000,Industry
