Entity,Code,Year,Patent applications per 1 million people - Field: All
Argentina,ARG,2013,0.02348385
Argentina,ARG,2016,0.022778882
Argentina,ARG,2017,0.022579022
Argentina,ARG,2018,0.1567578
Argentina,ARG,2019,0.17788266
Argentina,ARG,2020,0.2212783
Australia,AUS,2013,3.3137848
Australia,AUS,2014,3.5599859
Australia,AUS,2015,5.3031573
Australia,AUS,2016,9.864381
Australia,AUS,2017,11.645283
Australia,AUS,2018,18.511368
Australia,AUS,2019,22.171892
Australia,AUS,2020,34.76567
Austria,AUT,2013,0.47161964
Austria,AUT,2014,0.233978
Austria,AUT,2015,0.34706005
Austria,AUT,2016,1.1444371
Austria,AUT,2017,1.2501733
Austria,AUT,2018,1.3572124
Austria,AUT,2019,0.6756091
Austria,AUT,2020,1.6813501
Azerbaijan,AZE,2018,0.099603795
Belgium,BEL,2013,0.08960351
Belgium,BEL,2016,0.17648038
Belgium,BEL,2017,0.17579971
Belgium,BEL,2018,0.6999977
Belgium,BEL,2019,0.17405498
Belgium,BEL,2020,0.519926
Brazil,BRA,2013,0.19649504
Brazil,BRA,2014,0.1649298
Brazil,BRA,2015,0.28759065
Brazil,BRA,2016,0.3887449
Brazil,BRA,2017,0.40546462
Brazil,BRA,2018,0.71322083
Brazil,BRA,2019,0.6989452
Brazil,BRA,2020,0.70928496
Brunei,BRN,2014,2.399497
Bulgaria,BGR,2015,0.13932396
Bulgaria,BGR,2017,0.42398998
Bulgaria,BGR,2018,0.5694156
Bulgaria,BGR,2019,0.43007874
Bulgaria,BGR,2020,1.7306892
Canada,CAN,2013,3.173396
Canada,CAN,2014,3.3114195
Canada,CAN,2015,5.1164784
Canada,CAN,2016,9.1876
Canada,CAN,2017,11.383241
Canada,CAN,2018,18.152569
Canada,CAN,2019,19.876701
Canada,CAN,2020,22.948818
Chile,CHL,2014,0.055977907
Chile,CHL,2015,0.22163577
Chile,CHL,2017,0.053882606
Chile,CHL,2018,0.052929137
Chile,CHL,2019,0.052089445
China,CHN,2013,1.4184109
China,CHN,2014,1.7896873
China,CHN,2015,2.826376
China,CHN,2016,5.6664543
China,CHN,2017,10.481078
China,CHN,2018,19.441738
China,CHN,2019,30.775816
China,CHN,2020,46.329655
Colombia,COL,2015,0.042580426
Colombia,COL,2017,0.041553196
Colombia,COL,2019,0.040073745
Costa Rica,CRI,2019,0.20001796
Costa Rica,CRI,2020,0.19863644
Croatia,HRV,2015,0.23902105
Croatia,HRV,2018,0.4969107
Croatia,HRV,2019,0.2508568
Cuba,CUB,2020,0.089474656
Czechia,CZE,2013,0.09513694
Czechia,CZE,2017,0.09486457
Czechia,CZE,2018,0.0947963
Czechia,CZE,2019,0.09474298
Czechia,CZE,2020,0.28435668
Denmark,DNK,2013,1.4246703
Denmark,DNK,2014,1.9490439
Denmark,DNK,2015,3.6947775
Denmark,DNK,2016,2.6186244
Denmark,DNK,2017,3.295654
Denmark,DNK,2018,3.9697437
Denmark,DNK,2019,2.4077244
Denmark,DNK,2020,2.915187
Finland,FIN,2013,0.5515661
Finland,FIN,2014,2.0140302
Finland,FIN,2015,2.0074027
Finland,FIN,2016,1.4557447
Finland,FIN,2017,3.449278
Finland,FIN,2018,6.708085
Finland,FIN,2019,5.614157
Finland,FIN,2020,6.5103965
France,FRA,2013,0.43486542
France,FRA,2014,0.51010555
France,FRA,2015,0.5391555
France,FRA,2016,1.0140297
France,FRA,2017,1.4857982
