Entity,Code,Day,Training dataset size
1.3x/year,,1950-07-02,1.6244944
1.3x/year,,2009-09-29,1170275.1
2.3x/year,,2010-01-01,143918.33
2.3x/year,,2024-09-19,52714170000
6-layer MLP (MNIST),,2010-03-01,60000
ADALINE,,1960-06-30,100
ADAPTIVE NLPM,,2008-12-08,14000000
ADM,,2021-05-11,1281167
AFM-on-device,,2024-07-29,7588000000000
AFM-server,,2024-07-29,7400000000000
ALBERT,,2019-09-26,3300000000
ALBERT-xxlarge,,2020-02-09,3300000000
ALIGN,,2021-06-11,1600000000
ALVINN,,1989-12-01,1200
ANN Eye Tracker,,1993-11-29,2000
ASE+ACE,,1983-09-01,500000
AdaBoost.M2 Digit Recognition,,1996-07-03,9709
AdaRNN,,2014-06-01,6248
Adversarial Joint Adaptation Network (ResNet),,2017-08-17,4652
AlexNet,,2012-09-30,1200000
AlexaTM 20B,,2022-08-02,1319000000000
AlphaFold 2,,2020-11-30,530000
AlphaFold-Multimer,,2021-10-04,147328
AlphaGo Lee,,2016-01-27,29400000
AlphaGo Zero,,2017-10-18,5800000000
AlphaMissense,,2023-09-22,9000000
AlphaX-1,,2019-10-02,1480000
AlphaZero,,2017-12-05,700000
Amazon Titan,,2023-09-28,4000000000000
AmoebaNet-A (F=448),,2018-02-05,1280000
Ankh_large,,2023-01-16,14000000000
AudioGen,,2023-03-05,230400000000
AudioLM,,2023-07-26,820800000
BASIC-L,,2021-11-19,6700000000
BERT-Large,,2018-10-11,3300000000
BIDAF,,2016-11-05,47160000
BLIP-2 (Q-Former),,2023-01-30,129000000
BLOOM-176B,,2022-11-08,379000000000
BLOOMZ-176B,,2022-11-03,20000000000
BLUUMI,,2023-11-03,38000000000
BPE,,2015-08-31,37500000
Back-propagation,,1986-10-01,144
Bankruptcy-NN,,1990-06-17,370
BellKor 2007,,2009-09-21,100480504
BellKor 2008,,2009-08-01,100480504
BellKor 2009,,2009-08-01,100480504
BiLSTM for Speech,,2005-08-01,36960
Bidirectional RNN,,1997-11-01,73920
Big Transformer for Back-Translation,,2018-08-28,3390000000
Big-Little Net,,2018-07-10,1280000
Big-Little Net (speech),,2018-07-10,27360000
BigChaos 2008,,2008-11-25,100480504
BigChaos OptiBlend,,2009-08-01,100480504
BigGAN-deep 512x512,,2018-09-28,292000000
BigSSL,,2021-01-10,42626880000
Binarized Neural Network (MNIST),,2016-03-17,60000
BlenderBot 3,,2022-08-10,1300000000
BloombergGPT,,2023-03-30,532000000000
Boosting,,1992-11-30,9709
CLIP (ResNet-50),,2021-01-05,400000000
CLIP (ViT L/14@336px),,2021-01-05,400000000
CNN Best Practices,,2003-08-06,50000
CODEFUSION (Python),,2023-10-26,4390400
CPM-Large,,2020-12-01,16700000000
CTC-Trained LSTM,,2006-06-25,41620
CTM (CIFAR-10),,2023-10-01,60000
CaLM,,2022-12-19,2304000000
CamemBERT,,2019-11-10,31900000000
CapsNet (MNIST),,2017-10-26,60000
Ceramic-MLP,,1994-01-01,80
ChatGLM3-6B,,2023-10-27,1400000000000
Chinchilla,,2022-03-29,1050000000000
CoAtNet,,2021-06-09,3000000000
CoCa,,2022-06-14,4800000000
CoEdiT-xxl,,2023-05-17,3000000
CodeT5-large,,2022-07-05,10500000000
Codex,,2021-07-07,31800000000
CogAgent,,2023-12-14,287000000
CogVLM-17B,,2023-11-06,1518534500
CogVideo,,2022-05-29,5400000
CogView,,2021-05-26,50000000000
Cognitron,,1975-09-01,5
