Entity,Code,Year,Private investment in AI in the United States,Global private investment in AI,Private investment in AI in the European Union and United Kingdom,Private investment in AI in China
AI infrastructure and governance,,2018,21582030,32373045,,
AI infrastructure and governance,,2019,84791516,233176668,116588334,31796818
AI infrastructure and governance,,2020,31409355,62818710,10469785,31409355
AI infrastructure and governance,,2021,180000000,490000000,260000000,50000000
AI infrastructure and governance,,2022,657390402,759239619,18518039,74072158
AI infrastructure and governance,,2023,16202965817,16247430597,8892956,26678868
Agricultural technology,,2017,44218377,110545942,,11054594
Agricultural technology,,2018,75537104,248193342,,
Agricultural technology,,2019,158984092,211978789,0,
Agricultural technology,,2020,209395701,376912263,,94228066
Agricultural technology,,2021,750000000,1040000000,,140000000
Agricultural technology,,2022,212957454,416655888,92590197,92590197
Agricultural technology,,2023,257895724,444647800,115608428,8892956
Augmented or virtual reality,,2017,11054594,77382159,0,66327565
Augmented or virtual reality,,2018,21582030,43164060,0,10791015
Augmented or virtual reality,,2019,21197879,190780910,10598939,148385152
Augmented or virtual reality,,2020,282684197,785233880,,492079898
Augmented or virtual reality,,2021,710000000,890000000,10000000,130000000
Augmented or virtual reality,,2022,185180395,305547652,18518039,74072158
Augmented or virtual reality,,2023,533577360,595828051,35571824,8892956
Autonomous vehicles,,2017,320583231,497456738,33163783,77382159
Autonomous vehicles,,2018,291357402,615087848,0,302148417
Autonomous vehicles,,2019,445155457,741925762,42395758,84791516
Autonomous vehicles,,2020,2303352716,2596506698,136107206,73288495
Autonomous vehicles,,2021,450000000,2850000000,120000000,1790000000
Autonomous vehicles,,2022,916642955,2027725324,398137849,462950987
Autonomous vehicles,,2023,1707447550,2365526294,17785912,249002768
"Creative, music, and video content",,2017,309528637,497456738,11054594,110545942
"Creative, music, and video content",,2018,226611312,690624952,0,442431610
"Creative, music, and video content",,2019,254374547,710128943,21197879,307369244
"Creative, music, and video content",,2020,408321618,1036508722,41879140,136107206
"Creative, music, and video content",,2021,1340000000,3420000000,150000000,260000000
"Creative, music, and video content",,2022,907383935,1712918652,240734513,305547652
"Creative, music, and video content",,2023,675864655,1191656103,346825284,17785912
Cybersecurity and data protection,,2017,165818913,287419449,88436753,33163783
Cybersecurity and data protection,,2018,118701164,194238268,75537104,
Cybersecurity and data protection,,2019,466353336,476952275,,0
Cybersecurity and data protection,,2020,743354740,942280656,104697851,62818710
Cybersecurity and data protection,,2021,510000000,850000000,70000000,250000000
Cybersecurity and data protection,,2022,861088836,1083305310,9259020,55554118
Cybersecurity and data protection,,2023,249002768,791473083,480219624,0
Data management and processing,,2017,298474043,464292956,33163783,55272971
Data management and processing,,2018,1057519458,1197802652,53955074,32373045
Data management and processing,,2019,1854814404,2225777285,10598939,211978789
Data management and processing,,2020,1486709480,2334762071,115167636,554898609
Data management and processing,,2021,4720000000,6520000000,150000000,1280000000
Data management and processing,,2022,2972145338,4638768891,314806671,555541185
Data management and processing,,2023,4197475228,4891125795,160073208,329039372
Drones,,2017,33163783,77382159,,44218377
Drones,,2018,53955074,140283193,21582030,32373045
Drones,,2019,42395758,190780910,31796818,42395758
Drones,,2020,136107206,251274842,,94228066
Drones,,2021,2030000000,2200000000,,60000000
Drones,,2022,3740643976,3907306332,9259020,74072158
Drones,,2023,773687171,853723775,17785912,44464780
Educational technology,,2017,397965390,1437097243,33163783,530620521
Educational technology,,2018,496386684,2784081839,10791015,874072205
Educational technology,,2019,243775607,1017498187,31796818,646535306
Educational technology,,2020,2093957014,2481339062,83758281,136107206
Educational technology,,2021,1160000000,2240000000,170000000,490000000
Educational technology,,2022,824052757,1416630021,111108237,314806671
Educational technology,,2023,773687171,1102726543,133394340,80036604
"Energy, oil, and gas",,2017,1171786983,1238114548,0,55272971
"Energy, oil, and gas",,2018,528759729,776953071,32373045,194238268
"Energy, oil, and gas",,2019,614738488,805519398,31796818,74192576
"Energy, oil, and gas",,2020,722415170,1067918077,52348925,209395701
"Energy, oil, and gas",,2021,1240000000,3680000000,100000000,650000000
"Energy, oil, and gas",,2022,2453640232,3379542206,148144316,425914908
"Energy, oil, and gas",,2023,604721007,1307264531,240109812,320146416
Entertainment,,2017,33163783,254255666,0,198982695
Entertainment,,2018,129492179,258984357,21582030,75537104
Entertainment,,2019,84791516,158984092,63593637,
Entertainment,,2020,62818710,167516561,20939570,
Entertainment,,2021,410000000,710000000,110000000,50000000
Entertainment,,2022,148144316,324065691,83331178,0
Entertainment,,2023,249002768,462433712,160073208,17785912
Facial recognition,,2017,33163783,409019985,11054594,331637825
Facial recognition,,2018,43164060,1834472530,0,1694189336
Facial recognition,,2019,105989395,1006899248,21197879,752524701
Facial recognition,,2020,177986346,1078387862,0,617717319
Facial recognition,,2021,460000000,3580000000,20000000,3040000000
Facial recognition,,2022,370360790,888865895,37036079,55554118
Facial recognition,,2023,80036604,249002768,8892956,115608428
Financial technology,,2017,165818913,541675115,132655130,187928101
Financial technology,,2018,129492179,420849580,21582030,53955074
Financial technology,,2019,328567123,858514095,116588334,222577728
Financial technology,,2020,324563337,1204025283,481610113,157046776
Financial technology,,2021,1550000000,2750000000,310000000,550000000
Financial technology,,2022,1194413547,2018466304,166662355,55554118
Financial technology,,2023,853723775,1894199626,595828051,35571824
Fitness and wellness,,2017,33163783,33163783,,
Fitness and wellness,,2018,140283193,215820298,0,53955074
Fitness and wellness,,2019,264973486,264973486,10598939,
Fitness and wellness,,2020,335033122,345502907,,
Fitness and wellness,,2021,1530000000,1590000000,20000000,
Fitness and wellness,,2022,388878829,518505106,9259020,0
Fitness and wellness,,2023,177859120,195645032,17785912,0
Hardware,,2023,275681636,275681636,0,0
Insurance technology,,2017,22109188,176873507,44218377,
Insurance technology,,2018,43164060,151074208,10791015,64746089
Insurance technology,,2019,222577728,773722580,95390455,21197879
Insurance technology,,2020,450200758,628187104,83758281,73288495
Insurance technology,,2021,1200000000,1570000000,130000000,180000000
Insurance technology,,2022,833311777,1259226685,101849217,166662355
Insurance technology,,2023,373504152,533577360,88929560,0
Legal technology,,2017,77382159,110545942,22109188,
Legal technology,,2018,269775372,410058565,32373045,10791015
Legal technology,,2019,943305611,1112888642,105989395,10598939
Legal technology,,2020,366442477,513019468,73288495,41879140
Legal technology,,2021,1000000000,1270000000,160000000,30000000
Legal technology,,2022,425914908,592577264,120367257,
Legal technology,,2023,240109812,373504152,26678868,8892956
Manufacturing,,2017,66327565,121600536,22109188,11054594
Manufacturing,,2018,32373045,258984357,10791015,205029283
Manufacturing,,2019,10598939,84791516,31796818,31796818
Manufacturing,,2020,94228066,481610113,10469785,314093552
Manufacturing,,2021,400000000,780000000,130000000,220000000
Manufacturing,,2022,166662355,620354323,74072158,305547652
Manufacturing,,2023,177859120,791473083,80036604,471326668
Marketing and digital ads,,2017,88436753,143709724,33163783,22109188
Marketing and digital ads,,2018,129492179,194238268,21582030,21582030
Marketing and digital ads,,2019,127187273,275572426,52994697,31796818
Marketing and digital ads,,2020,1287783564,1591407331,62818710,125637421
Marketing and digital ads,,2021,360000000,770000000,160000000,80000000
Marketing and digital ads,,2022,537023145,703685500,46295099,37036079
Marketing and digital ads,,2023,364611196,942653335,71143648,364611196
Medical and healthcare,,2017,320583231,641166462,66327565,99491348
Medical and healthcare,,2018,625878863,1122265548,129492179,194238268
Medical and healthcare,,2019,1568643039,2342365618,233176668,264973486
Medical and healthcare,,2020,3653954990,5412878882,293153982,1046978507
Medical and healthcare,,2021,6730000000,11460000000,870000000,2670000000
