Entity,Code,Year,Estimated investment - Field: All
Albania,ALB,2014,4578426
Albania,ALB,2016,2258014
Albania,ALB,2019,7419258
Albania,ALB,2020,4187914
Algeria,DZA,2021,0
Argentina,ARG,2013,1163174
Argentina,ARG,2014,1144607
Argentina,ARG,2016,1129007
Argentina,ARG,2017,5527297
Argentina,ARG,2018,1079101
Argentina,ARG,2019,3179682
Argentina,ARG,2020,26174463
Argentina,ARG,2021,17000000
Armenia,ARM,2020,3140936
Armenia,ARM,2021,12000000
Australia,AUS,2013,1163174
Australia,AUS,2014,1144607
Australia,AUS,2015,92603272
Australia,AUS,2016,89191555
Australia,AUS,2017,46429296
Australia,AUS,2018,182368151
Australia,AUS,2019,264973486
Australia,AUS,2020,419838381
Australia,AUS,2021,2465000000
Austria,AUT,2013,3489523
Austria,AUT,2014,6867639
Austria,AUT,2015,2286501
Austria,AUT,2016,5645035
Austria,AUT,2017,15476432
Austria,AUT,2018,59350582
Austria,AUT,2019,104929501
Austria,AUT,2020,148670948
Austria,AUT,2021,275000000
Bahrain,BHR,2020,0
Bahrain,BHR,2021,40000000
Bangladesh,BGD,2018,0
Bangladesh,BGD,2019,1059894
Bangladesh,BGD,2020,0
Bangladesh,BGD,2021,0
Barbados,BRB,2016,20322126
Belarus,BLR,2016,2258014
Belarus,BLR,2017,8843675
Belarus,BLR,2020,2093957
Belgium,BEL,2013,8142221
Belgium,BEL,2014,28615164
Belgium,BEL,2015,137190032
Belgium,BEL,2016,76772478
Belgium,BEL,2017,318372312
Belgium,BEL,2018,48559567
Belgium,BEL,2019,170642925
Belgium,BEL,2020,392616940
Belgium,BEL,2021,505000000
Belize,BLZ,2019,10598939
Bermuda,BMU,2014,30904377
Bermuda,BMU,2017,86225835
Bermuda,BMU,2020,5234893
Bermuda,BMU,2021,50000000
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Botswana,BWA,2014,1144607
Botswana,BWA,2015,1143250
Botswana,BWA,2016,0
Botswana,BWA,2019,1059894
Botswana,BWA,2021,1000000
Brazil,BRA,2013,2326349
Brazil,BRA,2014,21747525
Brazil,BRA,2015,144049534
Brazil,BRA,2016,14677091
Brazil,BRA,2017,129338752
Brazil,BRA,2018,212582993
Brazil,BRA,2019,423957578
Brazil,BRA,2020,811408343
Brazil,BRA,2021,618000000
Bulgaria,BGR,2013,1163174
Bulgaria,BGR,2014,1144607
Bulgaria,BGR,2015,28581257
Bulgaria,BGR,2016,0
Bulgaria,BGR,2017,1105459
Bulgaria,BGR,2018,130571280
Bulgaria,BGR,2019,2119788
Bulgaria,BGR,2021,1000000
Cambodia,KHM,2018,0
Canada,CAN,2013,145396812
Canada,CAN,2014,193438508
Canada,CAN,2015,377272589
Canada,CAN,2016,1742057840
Canada,CAN,2017,722970459
Canada,CAN,2018,1724404178
Canada,CAN,2019,1565463357
Canada,CAN,2020,1700293096
Canada,CAN,2021,3362000000
Cayman Islands,CYM,2017,3316378
Cayman Islands,CYM,2018,9711913
Cayman Islands,CYM,2019,0
Cayman Islands,CYM,2020,3140936
Cayman Islands,CYM,2021,16000000
Chile,CHL,2013,1163174
Chile,CHL,2014,114460656
Chile,CHL,2015,0
Chile,CHL,2016,0
Chile,CHL,2017,8843675
