Entity,Code,Year,"Yes, would feel safe",Don't know - self-driving cars question,Refused - self-driving cars question,"No, would not feel safe"
Afghanistan,AFG,2021,43.5,8.3,,48.2
Albania,ALB,2021,17.9,8.2,0.1,73.8
Algeria,DZA,2021,35.2,19,0.1,45.7
Argentina,ARG,2021,33.766235,2.997003,0.4995005,62.737263
Armenia,ARM,2021,19.86028,8.582834,0.5988024,70.958084
Australia,AUS,2021,29.4,1.2,,69.4
Austria,AUT,2021,21,3.3,,75.7
Bangladesh,BGD,2021,34.8,10.1,,55.1
Belgium,BEL,2021,32.867134,6.393606,0.0999001,60.639362
Benin,BEN,2021,17.1,1.6,0.2,81.1
Bolivia,BOL,2021,26.646708,4.491018,0.2994012,68.562874
Bosnia and Herzegovina,BIH,2021,23.6,5.2,,71.2
Brazil,BRA,2021,36.85259,0.69721115,,62.4502
Bulgaria,BGR,2021,37.301586,2.0833333,0.09920635,60.515873
Burkina Faso,BFA,2021,20,3.5,,76.5
Cambodia,KHM,2021,15.3,15.3,,69.4
Cameroon,CMR,2021,16.2,1.6,,82.2
Canada,CAN,2021,27.920792,1.089109,0.0990099,70.89109
Chile,CHL,2021,20.47952,4.2957044,0.2997003,74.92507
China,CHN,2021,33.857143,11.085714,0.114285715,54.942856
Colombia,COL,2021,30.2,1.3,0.1,68.4
Costa Rica,CRI,2021,25.2,3.1,0.2,71.5
Cote d'Ivoire,CIV,2021,21.2,1,,77.8
Croatia,HRV,2021,26.121635,6.4805584,0.0997009,67.2981
Cyprus,CYP,2021,30.921705,6.04559,0.099108025,62.933598
Denmark,DNK,2021,50.1,1.4,,48.5
Dominican Republic,DOM,2021,24.275724,0.7992008,0.8991009,74.02597
Ecuador,ECU,2021,24.075924,2.2977023,0.1998002,73.426575
Egypt,EGY,2021,17.097416,9.343936,0.19880715,73.35984
El Salvador,SLV,2021,16.983017,5.894106,0.1998002,76.92308
Estonia,EST,2021,24.652088,5.367793,,69.98012
Finland,FIN,2021,25.944334,1.7892644,,72.2664
France,FRA,2021,35.1,0.4,,64.5
Gabon,GAB,2021,11.6,1.3,,87.1
Georgia,GEO,2021,20.879122,8.8911085,0.1998002,70.02997
Germany,DEU,2021,27.5,1,,71.5
Ghana,GHA,2021,27,4,0.1,68.9
Greece,GRC,2021,39.5,2.2,,58.3
Guinea,GIN,2021,22.4,5.2,0.2,72.2
Honduras,HND,2021,12.935324,3.5820897,0.39800996,83.08458
Hong Kong,HKG,2021,34.163345,0.2988048,,65.53785
Hungary,HUN,2021,26.6,5.7,0.1,67.6
India,IND,2021,23.666666,7.0666666,0.2,69.066666
Indonesia,IDN,2021,8.184383,4.6095953,,87.206024
Iran,IRN,2021,37.982197,1.8793274,0.19782394,59.94065
Iraq,IRQ,2021,33.03393,1.1976048,,65.76846
Ireland,IRL,2021,29.3,3.8,,66.9
Israel,ISR,2021,29.67033,12.687313,,57.642357
Italy,ITA,2021,42.1,0.5,,57.4
Jamaica,JAM,2021,15.445544,3.3663366,3.3663366,77.821785
Japan,JPN,2021,30.49505,5.0495048,,64.455444
Jordan,JOR,2021,28.27381,3.9682539,,67.757935
Kazakhstan,KAZ,2021,28.9,17.8,1.2,52.1
Kenya,KEN,2021,19.740778,0.2991027,,79.96012
Kosovo,OWID_KOS,2021,27.1,5.6,,67.3
Kyrgyzstan,KGZ,2021,42.357643,11.788212,0.2997003,45.554447
Laos,LAO,2021,23.5,15.9,0.2,60.4
Latvia,LVA,2021,26.396917,3.8535645,,69.74952
Lebanon,LBN,2021,32.475246,3.2673268,,64.25742
Lithuania,LTU,2021,21.449852,16.285997,0.5958292,61.668324
Malaysia,MYS,2021,29.6333,8.126859,0.099108025,62.14073
Mali,MLI,2021,27.6,5.2,,67.2
